id,productId,languageId,name,description
60,41,1,Топ Orchid,Елегантний та зручний halter-top з акцентною квіткою.
61,41,2,Top Orchid,Elegant and comfortable halter top with an accent flower.
62,39,1,Топ Floral White,Топ Floral White — для активного дня та витонченого образу Old money.
63,39,2,Top Floral White,The Floral White top is perfect for an active day and a sophisticated Old Money look.
64,40,1,Спідниця Floral White,Floral White — спідниця з високим поясом і вшитими шортами, що дарує свободу рухів і елегантний силует. Ідеальна для тенісу, тренувань і стильних повсякденних сетів.
65,40,2, Skirt Floral White,Floral White skirt with a high waistband and sewn-in shorts that gives you freedom of movement and an elegant silhouette. Perfect for tennis, workouts, and stylish everyday outfits.
66,37,1,Легінси Bell Basic,​Стильні легінси-кльош, які поєднують в собі комфорт та елегантність.
67,37,2, Leggings Bell Basic, ​Stylish flared leggings that combine comfort and elegance.
68,35,1,Легінси Orchid,Легінси з високою талією у мінімалістичному крої.
69,35,2, Leggings Orchid,High-waisted leggings in a minimalist cut.
49,36,1,Топ Bell Basic,Базовий топ, який поєднує в собі комфорт та елегантність.
47,34,1,Топ Orchid,Вишуканий halter-top з акцентною квіткою.
58,38,1,Сукня Noir Rose,Міні-сукня з квітковим акцентом, що облягає тіло. В комплект входять шортики для комфорту та свободи рухів.
59,38,2,Dress Noir Rose,A mini dress with floral accents that hugs the body. The set includes shorts for comfort and freedom of movement.
48,34,2,Top Orchid, An elegant halter top with an accent flower.
50,36,2,Top Bell Basic,A basic top that combines comfort and elegance.
